Participant,Condition,mean,P_m,StDev
1,SS1,-0.9703,1.0000,8.3210
1,Unique,0.3859,0.9891,8.4066
1,CW,0.2090,1.0000,7.7949
1,CCW,0.8583,1.0000,8.4246
2,SS1,-0.3871,1.0000,8.1202
2,Unique,0.3147,0.9964,8.4902
2,CW,-0.2688,1.0000,8.5462
2,CCW,0.2035,1.0000,8.2284
3,SS1,-0.2471,1.0000,8.3810
3,Unique,-0.1512,0.9936,8.3806
3,CW,-0.6682,1.0000,8.0321
3,CCW,-0.2790,1.0000,8.6873
4,SS1,0.3368,1.0000,8.6455
4,Unique,0.4686,0.9920,8.7225
4,CW,0.1409,1.0000,8.7846
4,CCW,0.2563,1.0000,8.0718
5,SS1,-0.8419,1.0000,7.6590
5,Unique,-0.1572,1.0000,8.6156
5,CW,-1.3886,1.0000,9.4763
5,CCW,-0.2197,1.0000,8.5815
6,SS1,0.0611,1.0000,8.7028
6,Unique,-1.4675,0.9786,8.4272
6,CW,0.4968,0.9929,7.8685
6,CCW,-0.5037,1.0000,8.8651
7,SS1,0.0180,1.0000,7.5083
7,Unique,-0.1182,0.9928,8.4173
7,CW,-0.0603,0.9928,9.1931
7,CCW,-1.3633,0.9927,8.7973
8,SS1,-1.0594,1.0000,9.3930
8,Unique,-0.5194,0.9914,8.5570
8,CW,0.7837,1.0000,8.2884
8,CCW,-1.5821,1.0000,8.8126
9,SS1,1.0133,1.0000,8.7614
9,Unique,0.1033,0.9893,8.1760
9,CW,-0.0877,1.0000,8.2005
9,CCW,1.1600,1.0000,8.5336
10,SS1,0.8124,1.0000,7.6871
10,Unique,-0.0171,0.9964,8.3865
10,CW,0.2588,1.0000,7.9005
10,CCW,1.5388,0.9924,8.0025
11,SS1,-0.6944,1.0000,8.6611
11,Unique,-0.6567,0.9964,8.6586
11,CW,0.0471,0.9930,8.3350
11,CCW,1.0299,1.0000,8.0306
12,SS1,0.0512,1.0000,8.0374
12,Unique,0.5430,0.9890,8.2905
12,CW,1.0496,1.0000,8.8521
12,CCW,-0.2450,0.9926,9.2073
